"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","MPN","Manufacturer","Digikey","Description"
"C1,C2","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","CL21A106KOQNNNG","Samsung Electro-Mechanics","1276-6455-1-ND","CAP CER 10UF 16V X5R 0805"
"C3,C4","2","47pF","","","","Capacitor_SMD:C_0402_1005Metric","","","","CAP CER 47PF 50V C0G 0402"
"C5","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric","KGM21NR71H104KT","KYOCERA AVX","478-KGM21NR71H104KTCT-ND","CAP CER 0.1UF 50V X7R 0805"
"J1,J2,J3","3","2057-RF2-152-T-00-50-G-HDW-ND","","","","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","SMA-J-P-H-ST-EM1","Samtec Inc.","SAM8857-ND","CONN SMA JACK STR 50OHM EDGE MNT"
"J4","1","61300211121","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","61300211121","Würth Elektronik","732-5315-ND","CONN HEADER VERT 2POS 2.54MM"
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric","CRCW080510K0FKEAC","Vishay Dale","541-3976-1-ND","RES 10K OHM 1% 1/8W 0805"
"U1","1","SKY13347-360LF","","","","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.7mm","SKY13347-360LF","Skyworks Solutions Inc.","863-1457-1-ND","IC RF SWITCH SPST 3GHZ 8DFN"
"U2","1","AZ1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","AZ1117CH-3.3TRG1","Diodes Incorporated","AZ1117CH-3.3TRG1DICT-ND","IC REG LINEAR 3.3V 1A SOT-223-3"
