"Reference","Qty","Value","DNP","Footprint","Description","MPN","Manufacturer","Digikey"
"J1,J2,J3","3","SMA-J-P-H-ST-EM1","","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","CONN SMA JACK STR 50OHM EDGE MNT","SMA-J-P-H-ST-EM1","Samtec Inc.","SAM8857-ND"
"U1","1","0735912050","","_tim-RF:0735912050","SMSJ CIRCULATOR/2300-2400","0735912050","Molex","900-0735912050CT-ND"
