Reference,Qty,Value,DNP,Footprint,Digikey,Manufacturer,MPN,Description
C1,1,10uF,,Capacitor_SMD:C_0805_2012Metric,490-18663-1-ND,Murata Electronics,490-18663-1-ND,CAP CER 10UF 50V X5R 0805
"C2,C3,C4,C5,C6",5,100nF,,Capacitor_SMD:C_0805_2012Metric,399-C0805C104K5RACTUCT-ND,KEMET,C0805C104K5RACTU,CAP CER 0.1UF 50V X7R 0805
"H1,H2,H3,H4",4,M3,,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,,,,Mounting Hole with connection
J1,1,0022272021,,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,WM4111-ND,Molex,0022272021,CONN HEADER VERT 2POS 2.54MM
"J2,J3,J4",3,SMA-J-P-H-ST-EM1,,Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,SAM8857-ND,Samtec Inc.,SMA-J-P-H-ST-EM1,CONN SMA JACK STR 50OHM EDGE MNT
"R1,R2,R3,R5,R6",5,10k,,Resistor_SMD:R_0805_2012Metric,RMCF0805FT10K0CT-ND,Stackpole Electronics Inc,RMCF0805FT10K0,RES 10K OHM 1% 1/8W 0805
R4,1,1M,,Resistor_SMD:R_0805_2012Metric,311-1.00MCRCT-ND,YAGEO,RC0805FR-071ML,RES 1M OHM 1% 1/8W 0805
U1,1,LM358,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,296-LM358DRCT-ND,Texas Instruments,LM358DR,IC OPAMP GP 2 CIRCUIT 8SOIC
U2,1,SCPHS-180+,,_tim-RF-Mini-Circuits:SCPHS-180+,3157-SCPHS-180+-ND,Mini-Circuits,SCPHS-180+,PHASE SHFT SURF MT
